model,domain,lead_day,metric,mean,ci_lower,ci_upper,n_initializations,bootstrap_reps,block_days,seed_base,lead_seed
CNN,kara,30,rmse,0.1246720667636947,0.0999576266738838,0.1403474571084668,282,5000,7,20260816,20260846
CNN,laptev,1,rmse,0.0267086120832305,0.021662682437364,0.0307970583519445,282,5000,7,20260816,20260817
CNN,laptev,2,rmse,0.0403057823819965,0.0324552725873481,0.0457379093593689,282,5000,7,20260816,20260818
CNN,laptev,3,rmse,0.0506814757688358,0.0409493015260121,0.0570044398099957,282,5000,7,20260816,20260819
CNN,laptev,4,rmse,0.0593276483492195,0.0477160919589872,0.0669569534774863,282,5000,7,20260816,20260820
CNN,laptev,5,rmse,0.0668657472295088,0.0535896510510648,0.0756552929048413,282,5000,7,20260816,20260821
CNN,laptev,6,rmse,0.0736135082619607,0.0584194980704229,0.0832352647406443,282,5000,7,20260816,20260822
CNN,laptev,7,rmse,0.0798671934635652,0.0638716033425847,0.0900118616983273,282,5000,7,20260816,20260823
CNN,laptev,8,rmse,0.0856964082409576,0.0690552130140254,0.0961436486633791,282,5000,7,20260816,20260824
CNN,laptev,9,rmse,0.0907477792875475,0.0738310875990567,0.1020695655299129,282,5000,7,20260816,20260825
CNN,laptev,10,rmse,0.0953901787044392,0.0778677346071929,0.1080252634916182,282,5000,7,20260816,20260826
CNN,laptev,11,rmse,0.0996803158244317,0.082739777723015,0.1133992599005523,282,5000,7,20260816,20260827
CNN,laptev,12,rmse,0.10413398504265,0.0877633904643016,0.1183335640680446,282,5000,7,20260816,20260828
CNN,laptev,13,rmse,0.1079549827974482,0.0922616987984354,0.1234105163529887,282,5000,7,20260816,20260829
CNN,laptev,14,rmse,0.1121019116499608,0.096173701787863,0.129345419560319,282,5000,7,20260816,20260830
CNN,laptev,15,rmse,0.1164867653555303,0.1004860674378168,0.1352704788880457,282,5000,7,20260816,20260831
CNN,laptev,16,rmse,0.121073638144898,0.104869952221206,0.1401271912546374,282,5000,7,20260816,20260832
CNN,laptev,17,rmse,0.125620818038348,0.1093873174914552,0.1449987247540444,282,5000,7,20260816,20260833
CNN,laptev,18,rmse,0.1301853223905082,0.1134932361668852,0.150509531677655,282,5000,7,20260816,20260834
CNN,laptev,19,rmse,0.1350946476704172,0.1180196541807257,0.154986688658023,282,5000,7,20260816,20260835
CNN,laptev,20,rmse,0.1403736518821715,0.1229851263457535,0.1605433124869065,282,5000,7,20260816,20260836
CNN,laptev,21,rmse,0.1456962502721376,0.1282691065953339,0.1653219560582645,282,5000,7,20260816,20260837
CNN,laptev,22,rmse,0.1510037378501154,0.13324301058125,0.1700312383316939,282,5000,7,20260816,20260838
CNN,laptev,23,rmse,0.1563610651809958,0.1381596224012105,0.1752181474966308,282,5000,7,20260816,20260839
CNN,laptev,24,rmse,0.1615310356838845,0.1420775845643107,0.1793155738403771,282,5000,7,20260816,20260840
CNN,laptev,25,rmse,0.1665567334744618,0.1460860490224184,0.1842704783369685,282,5000,7,20260816,20260841
CNN,laptev,26,rmse,0.1720331729942224,0.1509051656899076,0.1895077610088701,282,5000,7,20260816,20260842
CNN,laptev,27,rmse,0.1774120795654795,0.1552875839150748,0.1938349096462721,282,5000,7,20260816,20260843
CNN,laptev,28,rmse,0.1826214261127844,0.1590541038430495,0.1997843894343794,282,5000,7,20260816,20260844
CNN,laptev,29,rmse,0.1878052821429714,0.1643169189195857,0.2058720223613572,282,5000,7,20260816,20260845
CNN,laptev,30,rmse,0.1931230203814084,0.168849231715552,0.212487318139747,282,5000,7,20260816,20260846
CNN,east_siberian,1,rmse,0.0267372454537099,0.0219260227903021,0.031307295865493,282,5000,7,20260816,20260817
CNN,east_siberian,2,rmse,0.0405637224216745,0.0332681083023049,0.0477330346417471,282,5000,7,20260816,20260818
CNN,east_siberian,3,rmse,0.0505194541601409,0.0412498804071753,0.0598813552080873,282,5000,7,20260816,20260819
CNN,east_siberian,4,rmse,0.0585963764174055,0.0472377382873903,0.0689066680732092,282,5000,7,20260816,20260820
CNN,east_siberian,5,rmse,0.0653910613894799,0.0527222034258015,0.0766384832043405,282,5000,7,20260816,20260821
CNN,east_siberian,6,rmse,0.0712376902031548,0.057216160915953,0.0830957276782605,282,5000,7,20260816,20260822
CNN,east_siberian,7,rmse,0.0763033940535848,0.0619908578107799,0.0887411726892184,282,5000,7,20260816,20260823
CNN,east_siberian,8,rmse,0.0810299079059493,0.065951730838142,0.094237076377032,282,5000,7,20260816,20260824
CNN,east_siberian,9,rmse,0.0856622020887465,0.0693829929921165,0.0996290085176796,282,5000,7,20260816,20260825
CNN,east_siberian,10,rmse,0.0900600857579431,0.0722917837443203,0.1047428899648624,282,5000,7,20260816,20260826
CNN,east_siberian,11,rmse,0.0940468029324646,0.0756443844358568,0.1097990423432384,282,5000,7,20260816,20260827
CNN,east_siberian,12,rmse,0.0975606290550809,0.0778596763637667,0.1146784836950633,282,5000,7,20260816,20260828
CNN,east_siberian,13,rmse,0.1007148688531341,0.0806013447766282,0.1194846684138176,282,5000,7,20260816,20260829
CNN,east_siberian,14,rmse,0.1034656796307409,0.0822680380560677,0.1236520238241662,282,5000,7,20260816,20260830
CNN,east_siberian,15,rmse,0.10608469419296,0.0837004588286109,0.1269646330847247,282,5000,7,20260816,20260831
CNN,east_siberian,16,rmse,0.1085034242798662,0.0853733438526831,0.1293635263034319,282,5000,7,20260816,20260832
CNN,east_siberian,17,rmse,0.1110330797513043,0.0873394031381589,0.1328828049139559,282,5000,7,20260816,20260833
CNN,east_siberian,18,rmse,0.1138170909530828,0.089295181315019,0.1355893093444156,282,5000,7,20260816,20260834
CNN,east_siberian,19,rmse,0.1168623095785838,0.0909781713990726,0.1390537815264711,282,5000,7,20260816,20260835
CNN,east_siberian,20,rmse,0.1199925777917106,0.0928927755476798,0.1422179214663598,282,5000,7,20260816,20260836
CNN,east_siberian,21,rmse,0.1229115578279679,0.0947528251318746,0.1460778287684224,282,5000,7,20260816,20260837
CNN,east_siberian,22,rmse,0.125954866409585,0.0964816069668756,0.1494624153660421,282,5000,7,20260816,20260838
